Entry,Catalyst,SMILES,Activity (g/gCr h),Productivity (g/gCr h),TOF,SC6 (wt%),S1-C6 (wt%),SC8 (wt%),S1-C8 (wt%),1-C6 in C6 (%),1-C8 in C8 (%),"Sα (1-C6 + 1-C8, wt%)",Solids (wt%),Temperature (℃),Pressure,Cr(III),Cr source,Ligand,Solvent,Solvent (ml),Activator,Activator (eq),Time (min),PE (wt%),DOI
1,,COCCN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,,,,61,50.63,31,,83,>90,,,25,1 atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,6,10.1021/om0601596
2,,COCCCN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,,,,62,52.08,34,33.66,84,99,,,25,1 atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,0.5,10.1021/om0601596
3,,COC1=C(N(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,66,60.06,27,26.19,91,97,,,25,1 atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,0.3,10.1021/om0601596
4,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,62,57.66,24,22.32,93,93,,,25,1 atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,<0.1,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,54,50.22,23,20.24,93,88,,,25,1 atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,270,<0.1,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,45,41.4,16,11.68,92,73,,,25,1 atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,1250,0.2,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,44,39.6,33,30.69,90,93,,,25,4atm,20,CrCl3(THF)3,1,PhCl,50,MAO,300,90,0.4,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,16,11.52,29,27.55,72,95,,,25,4atm,20,CrCl3(THF)3,1,toluene,50,MAO,300,90,53,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,46,41.86,17,13.43,91,79,,,25,1atm,20,CrCl3(THF)3,1,"1,2-C6H4Cl2",50,MAO,300,30h,0.3,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,39,33.54,29,26.97,86,93,,,25,4atm,20,CrCl3(THF)3,1,"1,2-C6H4Cl2",50,MAO,300,90,1,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,62,57.66,24,22.32,93,93,,,25,1atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,<0.1,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,57,52.44,28,26.32,92,94,,,25,2.4atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,0.6,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,44,39.6,33,30.36,90,92,,,25,4.1atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,0.4,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,41,35.67,38,36.1,87,95,,,25,6.1atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,0.2,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,30,24.9,34,31.62,83,93,,,25,8.4atm,8,CrCl3(THF)3,1,C6H5Cl,20,MAO,300,90,0.2,10.1021/om0601596
5,,CC(C)N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,,,,49,47.04,28,25.76,96,92,,,25,4atm,20,CrCl3(THF)3,1,PhCl,50,MAO,300,90,4,10.1021/om0601596
,,CC(C)N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,,,,34,30.26,53,52.47,89,99,,,25,4atm,20,CrCl3(THF)3,1,toluene,50,MAO,300,90,9,10.1021/om0601596
6,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,40,36.4,34,31.62,91,93,,,25,4atm,20,CrCl3(THF)3,1,PhCl,50,MAO,300,90,0.2,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,29,24.36,46,43.7,84,95,,,25,4atm,20,CrCl3(THF)3,1,toluene,50,MAO,300,90,23,10.1021/om0601596
1,,CC(C)N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,13100,,,17.7,17.2575,16.4,15.99,97.5,97.5,33.2,,65,30bar,3.3,Cr(EH)3,1,toluene,100,MAO,300,60,,10.1016/j.jcat.2007.04.009
2,,CN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,26500,,,24.8,9.7712,59,55.519,39.4,94.1,65.3,,65,30bar,3.3,CrCl3(THF)3,1,toluene,100,MAO,300,60,,10.1016/j.jcat.2007.04.009
,,CN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,964000,,,16.4,5.4776,54,51.786,33.4,95.9,57.3,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,30,,10.1016/j.jcat.2007.04.009
3,,C=CCN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,7400,,,22.2,11.9658,53.6,51.7776,53.9,96.6,63.7,,65,30bar,3.3,Cr(EH)3,1,toluene,100,MAO,300,60,,10.1016/j.jcat.2007.04.009
4,,C1=CC=C(P(C2=CC=CC=C2)N(CCCN2CCOCC2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,12900,,,19.2,10.6944,45.4,43.7656,55.7,96.4,54.5,,65,30bar,3.3,Cr(AcAc)3,1,toluene,100,MAO,300,30,,10.1016/j.jcat.2007.04.009
5,,CO[Si](CCCN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)(OC)OC,42500,,,23.5,12.8545,55.2,53.2128,54.7,96.4,66.1,,65,30bar,3.3,Cr(AcAc)3,1,toluene,100,MAO,300,30,,10.1016/j.jcat.2007.04.009
6,,CCCCCN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,43600,,,24.9,13.6203,58.1,56.2408,54.7,96.8,69.9,,65,30bar,3.3,CrCl3(THF)3,1,toluene,100,MAO,300,60,,10.1016/j.jcat.2007.04.009
7,,CCCCCCCCCCN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,50000,,,25.4,13.9446,59,56.935,54.9,96.5,70.9,,65,30bar,3.3,Cr(AcAc)3,1,toluene,100,MAO,300,30,,10.1016/j.jcat.2007.04.009
8,,C1=CC=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,12800,,,28,17.276,60.2,59.0562,61.7,98.1,76.3,,65,30bar,3.3,CrCl3(THF)3,1,toluene,100,MAO,300,180,,10.1016/j.jcat.2007.04.009
,,C1=CC=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,1070000,,,18.8,8.742,63.5,61.722,46.5,97.2,70.5,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,9,,10.1016/j.jcat.2007.04.009
9,,CCCCC(CC)CN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,49200,,,27.3,18.0726,57.3,56.154,66.2,98,74.1,,65,30bar,3.3,Cr(AcAc)3,1,toluene,100,MAO,300,30,,10.1016/j.jcat.2007.04.009
,,CCCCC(CC)CN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,1770000,,,20.2,10.0394,65.3,32.4541,49.7,49.7,73.8,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,18,,10.1016/j.jcat.2007.04.009
10,,CC(C)N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,35100,,,32.7,28.2855,60.6,60.1152,86.5,99.2,88.4,,65,30bar,3.3,CrCl3(THF)3,1,toluene,100,MAO,300,180,,10.1016/j.jcat.2007.04.009
,,CC(C)N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,1950000,,,16.8,12.684,69.5,52.4725,75.5,75.5,81.5,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,17,,10.1016/j.jcat.2007.04.009
11,,CC(C)CCCC(C)N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,11800,,,36.2,29.7202,57.7,57.2384,82.1,99.2,84.7,,65,30bar,3.3,Cr(AcAc)3,1,toluene,100,MAO,300,30,,10.1016/j.jcat.2007.04.009
12,,CCN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,1020000,,,17.5,7.1225,63,61.299,40.7,97.3,68.4,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,30,,10.1016/j.jcat.2007.04.009
13,,C1=CC=C(P(C2=CC=CC=C2)N(C2CCCCC2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,2150000,,,19.4,14.55,68.3,46.6489,75,68.3,82.2,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,16.5,,10.1016/j.jcat.2007.04.009
14,,C1=CC=C(P(C2=CC=CC=C2)N(CC23CC4CC(CC(C4)C2)C3)P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,2660000,,,20.6,14.7496,67.3,45.2929,71.6,67.3,81.4,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,11,,10.1016/j.jcat.2007.04.009
15,,CC(C)C(C)N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,1920000,,,24.3,20.6793,65.7,43.1649,85.1,65.7,86.1,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,17,,10.1016/j.jcat.2007.04.009
16,,CC(C1CCCCC1)N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,3200000,,,25.1,21.6362,65.5,42.9025,86.2,65.5,86.7,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,11.25,,10.1016/j.jcat.2007.04.009
17,,CC(C)(C)N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,1550000,,,32.5,30.55,58,33.64,94,58,88.3,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,22,,10.1016/j.jcat.2007.04.009
18,,C1=CC=C(P(C2=CC=CC=C2)N(P(C2=CC=CC=C2)C2=CC=CC=C2)C23CC4CC(CC2C4)C3)C=C1,2630000,,,30.8,29.106,59.3,35.1649,94.5,59.3,88.1,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,13,,10.1016/j.jcat.2007.04.009
19,,C[C@H](N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)C(C)(C)C,1480000,,,44.9,43.7326,44.2,19.5364,97.4,44.2,87.7,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,23,,10.1016/j.jcat.2007.04.009
20,,C[C@@H](N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)C(C)(C)C,1360000,,,43.5,42.282,45.6,20.7936,97.2,45.6,87.5,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,25,,10.1016/j.jcat.2007.04.009
21,,C[C@@H](N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)C(C)(C)C,1370000,,,43.3,42.0876,46.1,21.2521,97.2,46.1,87.9,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,24,,10.1016/j.jcat.2007.04.009
22,,C[Si](C)(C)N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,20100,,,16.9,7.605,47.3,22.3729,45,47.3,52.9,,60,45bar,2.5,Cr(AcAc)3,1.2,methylcyclohexane,100,MMAO-3A,300,30,,10.1016/j.jcat.2007.04.009
1,,CC(C)C1=CC(P(C2=CC=CC=C2)C2=CC=CC=C2)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,,28700,,46.4,,44.1,,82.2(wt%),,,,85℃,20bar,2.06,Cr(AcAc)3,1.019417476,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
2,,CC1=CC(P(C2=CC=CC=C2)C2=CC=CC=C2)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1C,,23900,,48.5,,42.5,,82.8(wt%),,,,85℃,20bar,2.06,Cr(AcAc)3,1.019417476,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
,,CC1=CC(P(C2=CC=CC=C2)C2=CC=CC=C2)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1C,,253800,,50.3,,29.7,,86.9(wt%),,,,85℃,20bar,2.06,CrCl3(THF)3,1,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
3,,COC1=CC(P(C2=CC=CC=C2)C2=CC=CC=C2)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1O,,83500,,58.4,,30.5,,87.7(wt%),,,,85℃,20bar,2.06,Cr(AcAc)3,1.019417476,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
,,COC1=CC(P(C2=CC=CC=C2)C2=CC=CC=C2)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1O,,218300,,54.3,,29.6,,86.8(wt%),,,,85℃,20bar,2.06,CrCl3(THF)3,1,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
4,,CCOCOC1=CC=CC=C1P(C1=CC=CC=C1)C1=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,3700,,38.9,,16.9,,83.2(wt%),,,,85℃,20bar,2.06,Cr(AcAc)3,1.019417476,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
5,,CCOCC1=CC=CC=C1P(C1=CC=CC=C1)C1=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,29700,,92,,3.5,,96.6(wt%),,,,85℃,20bar,2.06,Cr(AcAc)3,1.019417476,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
,,CCOCC1=CC=CC=C1P(C1=CC=CC=C1)C1=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,255500,,55.8,,27.2,,88.6(wt%),,,,85℃,20bar,2.06,CrCl3(THF)3,1,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
6,,CCOCC1=CC=CC=C1P(C1=CC=CC=C1)C1=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C(OC)C(OC)=C1,,36000,,75.5,,14.2,,89.7(wt%),,,,85℃,20bar,2.06,Cr(AcAc)3,1.019417476,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
7,,COC1=C(P(C2=CC=CC=C2)C2=C(P(C3=CC=CC=C3)C3=CC=CC=C3)C=CC=C2)C2=C(C=CC=C2)C=C1,,230,,91.7,,0.5,,96.8(wt%),,,,85℃,20bar,2.06,Cr(AcAc)3,1.019417476,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
8,,COC1=C(P(C2=CC=CC=C2)C2=C(P(C3=CC=CC=C3)C3=CC=CC=C3)C=CC(C(C)C)=C2)C2=C(C=CC=C2)C=C1,,5900,,92.1,,0.2,,97.1(wt%),,,,85℃,20bar,2.06,Cr(AcAc)3,1.019417476,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
9,,C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,,31400,,46.8,,44.2,,82.7(wt%),,,,85℃,20bar,2.06,Cr(AcAc)3,1.019417476,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
,,C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,,33300,,90,,4,,97.3(wt%),,,,85℃,20bar,2.06,CrCl3(THF)3,1,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
10,,C=C(CP(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,,58100,,57.2,,32.5,,91.4(wt%),,,,85℃,20bar,2.06,Cr(AcAc)3,1.019417476,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
,,C=C(CP(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,,78500,,55.7,,31.2,,91.2(wt%),,,,85℃,20bar,2.06,CrCl3(THF)3,1,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
11,,COC1=CC=CC=C1P(C1=CC=CC=C1OC)N(C)P(C1=C(OC)C=CC=C1)C1=C(OC)C=CC=C1,,259300,,88.2,,1.4,,99.6(wt%),,,,85℃,20bar,2.06,Cr(AcAc)3,1.019417476,methylcyclohexane,25,MAO,730,30,,10.1134/S0965544119130036
1,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,425000,,,41.55,,42.26,,,,,,45℃,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,0.15,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,86538,,,38.45,,53.73,,,,,,30,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,-,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,425000,,,41.55,,42.26,,,,,,45,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,0.15,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,405769,,,58.63,,30.12,,,,,,60,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,0.08,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,200000,,,65.13,,31.17,,,,,,45,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,2000,30,-,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,36538,,,67.01,,28.07,,,,,,45,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,1000,30,0.53,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,515385,,,52.76,,30.42,,,,,,45,1.0 MPa,300,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,2000,30,-,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,128846,,,42.67,,40.94,,,,,,45,1.0 MPa,600,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,2000,30,0.11,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,178846,,,19.1,,67.98,,,,,,45,5.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,2.81,10.1002/aoc.6454
2,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,1057692,,,81.41,,5.92,,,,,,45,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,0.06,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,238462,,,84.72,,-,,,,,,30,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,2000,30,-,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,1142308,,,92.23,,-,,,,,,45,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,2000,30,0.15,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,959615,,,88.34,,-,,,,,,60,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,2000,30,0.09,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,1057692,,,81.41,,5.92,,,,,,45,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,0.06,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,25000,,,97.71,,-,,,,,,45,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,1000,30,0.1,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,1200000,,,73.56,,6.11,,,,,,45,1.0 MPa,300,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,2000,30,0.04,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,711538,,,70.7,,3.35,,,,,,45,1.0 MPa,600,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,2000,30,0.14,10.1002/aoc.6454
,,CCN(CC)P(N(CC)CC)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,1596154,,,63.47,,23.04,,,,,,45,5.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,2000,30,2.57,10.1002/aoc.6454
3,,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,151923,,,96.93,,-,,,,,,45,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,0.49,10.1002/aoc.6454
,,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,71154,,,95.74,,-,,,,,,30,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,0.07,10.1002/aoc.6454
,,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,151923,,,96.93,,-,,,,,,45,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,0.49,10.1002/aoc.6454
,,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,98076,,,96.63,,-,,,,,,60,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,0.25,10.1002/aoc.6454
,,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,111538,,,97.76,,-,,,,,,45,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,2000,30,0.44,10.1002/aoc.6454
,,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,21154,,,95.69,,-,,,,,,45,1.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,1000,30,0.3,10.1002/aoc.6454
,,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,148077,,,94.27,,-,,,,,,45,1.0 MPa,300,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,0.32,10.1002/aoc.6454
,,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,125000,,,92.6,,-,,,,,,45,1.0 MPa,600,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,0.19,10.1002/aoc.6454
,,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)N(C1CCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1,94231,,,62.28,,11.23,,,,,,45,5.0 MPa,150,CrCl3(THF)3,1,methylcyclohexane,1000,MMAO-3A,4000,30,3.57,10.1002/aoc.6454
1,,CCCCCCCCCCCCCCN(CCC(=O)NCCN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)CCC(=O)NCCN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,788,,,35.39,,18.24,,,,,,25,0.5MPa,2,CrCl3(THF)3,1,Toluene,50,MAO,100,30 min,,10.1002/aoc.5904
